oldname,split,newname,casename
20_Interets_allemands_en_Haute_Silesie_polonaise_Documents_Annexe_1.pdf,customsplit,PCIJ_A_07_GermanInterestsUpperSilesia_DEU_POL_1926-02-05_DEC_01_JO_00_BI.pdf,Certain German Interests in Polish Upper Silesia (Merits)
21_Interets_allemands_en_Haute_Silesie_polonaise_Documents_Annexe_2.pdf,customsplit,PCIJ_A_07_GermanInterestsUpperSilesia_DEU_POL_1926-03-22_ORD_01_DH_00_BI.pdf,Certain German Interests in Polish Upper Silesia (Merits)
22_Interets_allemands_en_Haute_Silesie_polonaise_Documents_Annexe_3.pdf,nosplit,PCIJ_A_07_GermanInterestsUpperSilesia_DEU_POL_1926-05-25_ANX_01_NA_NA_FR.pdf,Certain German Interests in Polish Upper Silesia (Merits)
25_Denonciation_du_traite_sino_belge_Requete_et_Ordonnance_19270108.pdf,customsplit,PCIJ_A_08_SinoBelgianTreaty_BEL_CHN_1926-11-25_APP_01_NA_NA_BI.pdf,"Denunciation of the Treaty of November 2nd, 1865, between China and Belgium"
25_Denonciation_du_traite_sino_belge_Ordonnance_19270108.pdf,even-english,PCIJ_A_08_SinoBelgianTreaty_BEL_CHN_1927-01-08_ORD_01_IM_00_BI.pdf,"Denunciation of the Treaty of November 2nd, 1865, between China and Belgium"
26_Denonciation_du_traite_sino_belge_Ordonnance_19270215.pdf,even-english,PCIJ_A_08_SinoBelgianTreaty_BEL_CHN_1927-02-15_ORD_01_IM_00_BI.pdf,"Denunciation of the Treaty of November 2nd, 1865, between China and Belgium"
27_Denonciation_du_traite_sino_belge_Ordonnance_19270618.pdf,even-english,PCIJ_A_08_SinoBelgianTreaty_BEL_CHN_1927-06-18_ORD_01_TL_00_BI.pdf,"Denunciation of the Treaty of November 2nd, 1865, between China and Belgium"
28_Usine_de_Chorzow_Competence_Arret.pdf,odd-english,PCIJ_A_09_ChorzowFactory_DEU_POL_1927-07-26_JUD_01_PO_00_BI.pdf,Factory at Chorzów (Claim for Indemnity) (Jurisdiction)
29_Usine_de_Chorzow_Competence_Opinion_Ehrlich.pdf,even-english,PCIJ_A_09_ChorzowFactory_DEU_POL_1927-07-26_JUD_01_PO_01_BI.pdf,Factory at Chorzów (Claim for Indemnity) (Jurisdiction)
30_Lotus_Arret.pdf,odd-english,PCIJ_A_10_Lotus_FRA_TUR_1927-09-07_JUD_01_ME_00_BI.pdf,S.S. Lotus
